,BTC,ETH,XRP,LTC
2011-09-13,4.37522902161964,,,
2011-09-14,4.027969990530993,,,
2011-09-15,3.7187386734324033,,,
2011-09-16,3.5247093023255816,,,
2011-09-17,3.539244186046512,,,
2011-09-18,3.5755813953488373,,,
2011-09-19,3.592112015248149,,,
2011-09-20,4.12837345003647,,,
2011-09-21,4.150777354062775,,,
2011-09-22,4.253420582986317,,,
2011-09-23,4.259121370067014,,,
2011-09-24,4.22933730454207,,,
2011-09-25,4.504839910647803,,,
2011-09-26,3.5555555555555554,,,
2011-09-27,3.6232417703807345,,,
2011-09-28,3.5360575159562764,,,
2011-09-29,3.5402130003672423,,,
2011-09-30,3.5695771310079243,,,
2011-10-03,3.654235761986944,,,
2011-10-04,3.778165541309461,,,
2011-10-05,3.68898552897953,,,
2011-10-06,3.617454216595071,,,
2011-10-07,3.431591484293584,,,
2011-10-08,2.9700759267530152,,,
2011-10-09,2.8956379336013103,,,
2011-10-10,3.317884205105569,,,
2011-10-11,3.013154993753215,,,
2011-10-12,2.854859799506029,,,
2011-10-13,2.8921104392802506,,,
2011-10-14,2.9332947055841236,,,
2011-10-17,2.845528455284553,,,
2011-10-18,2.866335185726821,,,
2011-10-19,2.834827885449812,,,
2011-10-20,1.622365466792207,,,
2011-10-21,1.645165966082041,,,
2011-10-24,2.107390300230947,,,
2011-10-25,1.9543037792786322,,,
2011-10-26,1.9314999640985135,,,
2011-10-27,1.9162273828180654,,,
2011-10-28,2.9661016949152543,,,
2011-10-29,2.7895480225988702,,,
2011-10-30,2.4717514124293785,,,
2011-10-31,2.3569745018212984,,,
2011-11-01,2.443677992221325,,,
2011-11-02,2.4114707799261352,,,
2011-11-03,2.4177739054672185,,,
2011-11-04,2.5775067160386262,,,
2011-11-05,2.1781746896101066,,,
2011-11-06,2.141871778116605,,,
2011-11-07,2.1467035366031144,,,
2011-11-08,2.23382651581085,,,
2011-11-09,2.4205970806132178,,,
2011-11-10,2.4236192714453586,,,
2011-11-11,2.4175824175824174,,,
2011-11-12,2.4542124542124544,,,
2011-11-13,2.4542124542124544,,,
2011-11-14,1.80833150303829,,,
2011-11-15,1.8474726574046705,,,
2011-11-16,2.2248590922574905,,,
2011-11-17,2.2181008902077153,,,
2011-11-18,1.8414849734826164,,,
2011-11-19,1.7899233942251034,,,
2011-11-20,1.7457277548615204,,,
2011-11-21,1.671868033883192,,,
2011-11-22,1.9135574436645733,,,
2011-11-23,1.9347127810562486,,,
2011-11-24,2.243326104838107,,,
2011-11-25,2.0787663466626354,,,
2011-11-26,2.0938846473656363,,,
2011-11-28,1.9928079112975727,,,
2011-11-29,2.0395920815836837,,,
2011-11-30,2.377403487852139,,,
2011-12-01,2.5348354580492143,,,
2011-12-02,2.2500185034416402,,,
2011-12-03,2.168603360225002,,,
2011-12-05,2.1797351584585627,,,
2011-12-06,2.22487681051217,,,
2011-12-07,2.466920834267773,,,
2011-12-08,2.460850111856823,,,
2011-12-09,2.4656306037059172,,,
2011-12-10,2.3909145248057384,,,
2011-12-11,2.443215780035864,,,
2011-12-12,2.626216889291374,,,
2011-12-13,2.7008572945906986,,,
2011-12-14,2.670668821673209,,,
2011-12-15,2.6499731162147633,,,
2011-12-16,2.6331904470300063,,,
2011-12-18,2.6791181873851806,,,
2011-12-19,2.9526804202776287,,,
2011-12-20,3.4801896894599973,,,
2011-12-21,3.3552933966600276,,,
2011-12-22,3.1961370429983904,,,
2011-12-23,3.231982844451252,,,
2011-12-24,3.316228842766332,,,
2011-12-25,3.270276480049015,,,
2011-12-26,3.316228842766332,,,
2011-12-27,3.282577090825618,,,
2011-12-28,3.2889704757534037,,,
2011-12-29,3.491349212506789,,,
2011-12-30,3.253729036247005,,,
2011-12-31,3.539686219955174,,,
2012-01-01,3.8642862663266095,,,
2012-01-02,3.8654812524159254,,,
2012-01-03,4.064853234977717,,,
2012-01-04,4.301822675316652,,,
2012-01-05,5.182356608478804,,,
2012-01-06,4.69630557294928,,,
2012-01-07,5.322479649342517,,,
2012-01-08,5.479023168440826,,,
2012-01-09,4.949717159019484,,,
2012-01-10,5.574640849469082,,,
2012-01-11,5.504010064475546,,,
2012-01-12,5.111494974874371,,,
2012-01-13,5.167958656330749,,,
2012-01-14,4.933051444679352,,,
2012-01-15,5.598621877691646,,,
2012-01-16,5.6042307995895495,,,
2012-01-17,4.691164972634871,,,
2012-01-18,5.533473618580001,,,
2012-01-19,4.817597397567965,,,
2012-01-20,5.3867617423655245,,,
2012-01-21,5.2472484886064175,,,
2012-01-22,5.262749961246318,,,
2012-01-23,5.008834600906506,,,
2012-01-24,5.037299084826579,,,
2012-01-25,4.875598825529284,,,
2012-01-26,4.184100418410042,,,
2012-01-27,4.473183720045645,,,
2012-01-28,3.7352605553442375,,,
2012-01-29,4.184100418410042,,,
2012-01-30,4.25629290617849,,,
2012-01-31,4.022465088038858,,,
2012-02-01,4.462998102466793,,,
2012-02-02,4.7960898121276925,,,
2012-02-03,4.787234042553191,,,
2012-02-04,4.513677811550152,,,
2012-02-05,4.25531914893617,,,
2012-02-06,4.293819966262843,,,
2012-02-07,4.3392053687180665,,,
2012-02-08,4.422178695193612,,,
2012-02-09,4.43257074051776,,,
2012-02-10,4.4582606717719315,,,
2012-02-11,4.170141784820684,,,
2012-02-12,4.299037076351505,,,
2012-02-13,4.368492530556813,,,
2012-02-14,3.7132660034930516,,,
2012-02-15,3.5823403605255124,,,
2012-02-16,3.4740409798182097,,,
2012-02-17,3.5489018922410516,,,
2012-02-18,3.2145299794817235,,,
2012-02-19,3.32852040428604,,,
2012-02-20,3.3469018543645412,,,
2012-02-21,3.4639237634245954,,,
2012-02-22,3.4089191232048375,,,
2012-02-23,3.9248120300751874,,,
2012-02-24,3.690724724127647,,,
2012-02-25,3.7280047718461082,,,
2012-02-26,3.713092752758724,,,
2012-02-27,3.7645652823423963,,,
2012-02-28,3.627174074624647,,,
2012-02-29,3.7119690545265196,,,
2012-03-01,3.7560096153846154,,,
2012-03-02,3.6241204509344023,,,
2012-03-03,3.5181962623893472,,,
2012-03-04,3.63925247786941,,,
2012-03-05,3.8275340393343416,,,
2012-03-06,3.7862084695506733,,,
2012-03-07,3.757621951219512,,,
2012-03-08,3.7834164023561394,,,
2012-03-09,3.737396709877947,,,
2012-03-10,3.7449776362671523,,,
2012-03-11,3.790463194602381,,,
2012-03-12,3.803643570394085,,,
2012-03-13,4.059125373362947,,,
2012-03-14,4.034604195375899,,,
2012-03-15,4.128053917438921,,,
2012-03-16,4.01036901494358,,,
2012-03-17,4.132357426044526,,,
2012-03-18,4.002744739249771,,,
2012-03-19,3.673003802281369,,,
2012-03-20,3.6293377784512804,,,
2012-03-21,3.7504725897920603,,,
2012-03-22,3.7290195184932027,,,
2012-03-23,3.609726627397674,,,
2012-03-24,3.6474852741277752,,,
2012-03-25,3.4284851230931883,,,
2012-03-26,3.5628201265441404,,,
2012-03-27,3.630090752268807,,,
2012-03-28,3.6964834670465616,,,
2012-03-29,3.6467751657625076,,,
2012-03-30,3.653788559448937,,,
2012-03-31,3.6687631027253675,,,
2012-04-01,3.661275831087152,,,
2012-04-02,3.7840678729634356,,,
2012-04-03,3.747653022906497,,,
2012-04-04,3.8122051438137268,,,
2012-04-05,3.8261401897765537,,,
2012-04-06,3.8184879093970006,,,
2012-04-07,3.5965717783899604,,,
2012-04-08,3.6424854606672787,,,
2012-04-09,3.634833180287726,,,
2012-04-10,3.660210462101571,,,
2012-04-11,3.746858578935344,,,
2012-04-12,3.7481943282901238,,,
2012-04-13,3.7496197140249468,,,
2012-04-14,3.772436872528141,,,
2012-04-15,3.7952540310313356,,,
2012-04-16,3.823710073710074,,,
2012-04-17,3.7922631739262873,,,
2012-04-18,3.9410371954479495,,,
2012-04-19,3.9202200825309492,,,
2012-04-20,4.078229229836264,,,
2012-04-21,3.9721043056397822,,,
2012-04-22,3.9190418435415406,,,
2012-04-23,3.8077831086741303,,,
2012-04-24,3.8598890661803815,,,
2012-04-25,3.892170225655005,,,
2012-04-26,3.7684449489216805,,,
2012-04-27,3.8098117771562476,,,
2012-04-28,3.7115428225867415,,,
2012-04-29,3.7115428225867415,,,
2012-04-30,3.7838655970939916,,,
2012-05-01,3.7611624035114275,,,
2012-05-02,3.8534765059782194,,,
2012-05-03,3.886306484797683,,,
2012-05-04,3.8607980505635093,,,
2012-05-05,3.8379530916844353,,,
2012-05-06,3.868413036856534,,,
2012-05-07,3.874779406122919,,,
2012-05-08,3.8541266794625715,,,
2012-05-09,3.8764478764478763,,,
2012-05-10,3.7574261245274285,,,
2012-05-11,3.824165636588381,,,
2012-05-12,3.793263288009889,,,
2012-05-13,3.816440049443758,,,
2012-05-14,3.8326984373785273,,,
2012-05-15,3.854239663629993,,,
2012-05-16,3.9566650965614696,,,
2012-05-17,3.9583661882983754,,,
2012-05-18,3.9855357283232453,,,
2012-05-19,3.9855357283232453,,,
2012-05-20,3.9540916594607345,,,
2012-05-21,3.9843137254901966,,,
2012-05-22,3.939536340852131,,,
2012-05-23,4.028754245990994,,,
2012-05-24,4.077407023970694,,,
2012-05-25,4.049099314522557,,,
2012-05-26,4.041128646580584,,,
2012-05-27,4.041128646580584,,,
2012-05-28,4.034696800891294,,,
2012-05-29,4.08049189491336,,,
2012-05-30,4.132497186042772,,,
2012-05-31,4.168346367814238,,,
2012-06-01,4.23632527187145,,,
2012-06-02,4.211978574906672,,,
2012-06-03,4.211978574906672,,,
2012-06-04,4.197153654418268,,,
2012-06-05,4.3205406710113445,,,
2012-06-06,4.33319983980777,,,
2012-06-07,4.390631202858277,,,
2012-06-08,4.499518768046199,,,
2012-06-09,4.39525184472249,,,
2012-06-10,4.3471286493423165,,,
2012-06-11,4.400510204081632,,,
2012-06-12,4.57092539225104,,,
