,24h_volume_eur,24h_volume_usd,available_supply,cached,id,last_updated,market_cap_eur,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_eur,price_usd,rank,symbol,total_supply
2018-01-24 22:56:00,58191008.1669,72097900.0,2779530283.0,True,iota,1516830854,5392704467.0,6681490485.0,2779530283.0,IOTA,0.61,-6.16,-7.26,0.0002142,1.9401495640000002,2.40382,11,MIOTA,2779530283.0
2018-01-24 22:58:00,58191008.1669,72097900.0,2779530283.0,True,iota,1516830854,5392704467.0,6681490485.0,2779530283.0,IOTA,0.61,-6.16,-7.26,0.0002142,1.940149564,2.40382,11,MIOTA,2779530283.0
2018-01-24 23:09:00,58218853.4964,72132400.0,2779530283.0,True,iota,1516831455,5398357808.0,6688494901.0,2779530283.0,IOTA,0.68,-6.12,-7.7,0.00021421,1.9421834837,2.40634,11,MIOTA,2779530283.0
2018-01-25 00:14:00,58879070.2944,72950400.0,2779530283.0,True,iota,1516835354,5434386643.0,6733134158.0,2779530283.0,IOTA,0.64,-4.99,-8.89,0.00021662,1.9551456864,2.4224,11,MIOTA,2779530283.0
2018-01-25 08:08:00,64370865.624,80055300.0,2779530283.0,True,iota,1516863854,5652762143.0,7030099173.0,2779530283.0,IOTA,-1.92,1.21,-9.83,0.0002198,2.0337112991999997,2.52924,11,MIOTA,2779530283.0
2018-01-25 08:17:00,64421763.888,80118600.0,2779530283.0,True,iota,1516864455,5664182813.0,7044302573.0,2779530283.0,IOTA,-1.45,1.26,-9.68,0.0002196,2.037820148,2.53435,11,MIOTA,2779530283.0
2018-01-25 21:07:00,48698835.4454,60812200.0,2779530283.0,True,iota,1516910654,5367901598.0,6703115230.0,2779530283.0,IOTA,-0.35,0.88,-16.61,0.00021519,1.9312261612000001,2.4116,11,MIOTA,2779530283.0
2018-01-25 21:35:00,46957400.5432,58637600.0,2779530283.0,True,iota,1516916055,5282072155.0,6595936543.0,2779530283.0,IOTA,-2.77,-1.22,-17.06,0.00021139,1.9003470433,2.37304,11,MIOTA,2779530283.0
2018-01-25 22:06:00,47146711.318,58874000.0,2779530283.0,True,iota,1516917856,5320824505.0,6644328165.0,2779530283.0,IOTA,-1.39,-0.69,-16.07,0.00021219999999999998,1.9142890931999998,2.39045,11,MIOTA,2779530283.0
2018-01-25 22:10:00,47180425.2927,58916100.0,2779530283.0,True,iota,1516918155,5336027179.0,6663312357.0,2779530283.0,IOTA,-1.11,-0.42,-15.78,0.00021275,1.919758605,2.39728,11,MIOTA,2779530283.0
2018-01-25 22:13:00,47180425.2927,58916100.0,2779530283.0,True,iota,1516918155,5336027179.0,6663312357.0,2779530283.0,IOTA,-1.11,-0.42,-15.78,0.00021275,1.919758605,2.39728,11,MIOTA,2779530283.0
2018-01-25 22:15:00,47180425.2927,58916100.0,2779530283.0,True,iota,1516918155,5336027179.0,6663312357.0,2779530283.0,IOTA,-1.11,-0.42,-15.78,0.00021275,1.919758605,2.39728,11,MIOTA,2779530283.0
2018-01-25 22:20:00,46828630.7776,58476800.0,2779530283.0,True,iota,1516918756,5311119723.0,6632209413.0,2779530283.0,IOTA,-0.74,-0.98,-16.05,0.00021142,1.9107975746,2.3860900000000003,11,MIOTA,2779530283.0
2018-01-25 22:25:00,46828630.7776,58476800.0,2779530283.0,True,iota,1516918756,5311119723.0,6632209413.0,2779530283.0,IOTA,-0.74,-0.98,-16.05,0.00021142,1.9107975746,2.3860900000000003,11,MIOTA,2779530283.0
2018-01-25 22:50:00,46477396.8274,58038200.0,2779530283.0,True,iota,1516920554,5286657442.0,6601662375.0,2779530283.0,IOTA,-0.02,-1.78,-16.17,0.00021122,1.9019967057,2.3751,11,MIOTA,2779530283.0
2018-01-25 23:01:00,46042558.6264,57495200.0,2779530283.0,True,iota,1516921155,5271410251.0,6582622593.0,2779530283.0,IOTA,-0.62,-2.26,-16.35,0.00021202,1.8965111778,2.36825,11,MIOTA,2779530283.0
2018-01-25 23:10:00,45819533.8769,57216700.0,2779530283.0,True,iota,1516921755,5244633067.0,6549184843.0,2779530283.0,IOTA,-1.23,-2.88,-16.73,0.00021150000000000002,1.8868774695,2.35622,11,MIOTA,2779530283.0
2018-01-25 23:20:00,45831385.8205,57231500.0,2779530283.0,True,iota,1516922356,5254226555.0,6561164619.0,2779530283.0,IOTA,-1.08,-2.87,-16.5,0.00021129,1.8903289477,2.36053,11,MIOTA,2779530283.0
2018-01-25 23:30:00,45638871.8177,56991100.0,2779530283.0,True,iota,1516922957,5263241318.0,6572421717.0,2779530283.0,IOTA,-0.65,-2.85,-16.33,0.00021172,1.8935722161000001,2.36458,11,MIOTA,2779530283.0
2018-01-25 23:40:00,45288438.6745,56553500.0,2779530283.0,True,iota,1516923555,5250041924.0,6555939102.0,2779530283.0,IOTA,-0.81,-3.2,-16.49,0.00021146,1.8888234306,2.35865,11,MIOTA,2779530283.0
2018-01-25 23:50:00,45236546.3809,56488700.0,2779530283.0,True,iota,1516924158,5248995767.0,6554632723.0,2779530283.0,IOTA,-0.64,-3.39,-16.45,0.00021158,1.8884470513,2.35818,11,MIOTA,2779530283.0
