,24h_volume_eur,24h_volume_usd,available_supply,cached,id,last_updated,market_cap_eur,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_eur,price_usd,rank,symbol,total_supply
2018-01-24 22:56:00,301345384.293,373363000.0,54903683.0,True,litecoin,1516830841,8016288020.0,9932076282.0,84000000.0,Litecoin,-0.01,-0.23,1.51,0.0161197,146.0063799,180.9,7,LTC,54903683.0
2018-01-24 22:58:00,301345384.293,373363000.0,54903683.0,True,litecoin,1516830841,8016288020.0,9932076282.0,84000000.0,Litecoin,-0.01,-0.23,1.51,0.0161197,146.0063799,180.9,7,LTC,54903683.0
2018-01-24 23:09:00,301386546.954,373414000.0,54903908.0,True,litecoin,1516831441,8026424361.0,9944635076.0,84000000.0,Litecoin,0.17,-0.06,1.29,0.016123699999999998,146.190401208,181.128,7,LTC,54903908.0
2018-01-25 00:14:00,300269505.33,372030000.0,54904608.0,True,litecoin,1516835341,7971710136.0,9876844865.0,84000000.0,Litecoin,-0.58,-0.19,-0.76,0.0160864,145.192004901,179.891,7,LTC,54904608.0
2018-01-25 08:08:00,326369639.36,405892000.0,54909433.0,True,litecoin,1516863840,8109364301.0,10085270497.0,84000000.0,Litecoin,-0.44,3.07,-2.38,0.0159614,147.68617768,183.671,7,LTC,54909433.0
2018-01-25 08:17:00,326467737.12,406014000.0,54909433.0,True,litecoin,1516864441,8120358044.0,10098942946.0,84000000.0,Litecoin,-0.43,3.1,-2.29,0.015936099999999998,147.8863936,183.92,7,LTC,54909433.0
2018-01-25 21:07:00,297842545.896,371928000.0,54917208.0,True,litecoin,1516910641,7934130241.0,9907668440.0,84000000.0,Litecoin,-0.45,0.14,-9.03,0.0160979,144.474391677,180.411,7,LTC,54917208.0
2018-01-25 21:35:00,298608918.195,372885000.0,54918083.0,True,litecoin,1516916041,7928363498.0,9900467277.0,84000000.0,Litecoin,-0.52,-0.23,-8.5,0.016058799999999998,144.367083539,180.27700000000002,7,LTC,54918083.0
2018-01-25 22:06:00,297752054.705,371815000.0,54918558.0,True,litecoin,1516917841,7933489677.0,9906868542.0,84000000.0,Litecoin,-0.41,-0.07,-8.15,0.0160137,144.45917634399999,180.392,7,LTC,54918558.0
2018-01-25 22:10:00,297752054.705,371815000.0,54918558.0,True,litecoin,1516917841,7933489677.0,9906868542.0,84000000.0,Litecoin,-0.41,-0.07,-8.15,0.0160137,144.45917634399999,180.392,7,LTC,54918558.0
