,24h_volume_eur,24h_volume_usd,available_supply,cached,id,last_updated,market_cap_eur,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_eur,price_usd,rank,symbol,total_supply
2018-01-24 22:56:00,398302014.501,493491000.0,65748192475.0,True,tron,1516830858,3836163521.0,4752956559.0,,TRON,2.99,3.02,5.24,6.44e-06,0.0583462963,0.0722903,14,TRX,100000000000
2018-01-24 22:58:00,398302014.501,493491000.0,65748192475.0,True,tron,1516830858,3836163521.0,4752956559.0,,TRON,2.99,3.02,5.24,6.44e-06,0.058346296299999996,0.0722903,14,TRX,100000000000
2018-01-24 23:09:00,400146263.136,495776000.0,65748192475.0,True,tron,1516831759,3814884019.0,4726591533.0,,TRON,1.9,2.54,3.67,6.4e-06,0.0580226448,0.0718893,14,TRX,100000000000
2018-01-25 00:14:00,401302853.199,497209000.0,65748192475.0,True,tron,1516835360,3728858582.0,4620007139.0,,TRON,-2.22,1.02,-2.21,6.28e-06,0.056714237199999996,0.0702682,14,TRX,100000000000
2018-01-25 08:08:00,438296771.28,545091000.0,65748192475.0,True,tron,1516863860,3792765153.0,4716900250.0,,TRON,0.21,4.99,-13.9,6.23e-06,0.057686227,0.0717419,14,TRX,100000000000
2018-01-25 08:17:00,439055018.72,546034000.0,65748192475.0,True,tron,1516864459,3805870834.0,4733199227.0,,TRON,0.52,5.29,-13.84,6.24e-06,0.057885558399999995,0.0719898,14,TRX,100000000000
2018-01-25 21:07:00,324272380.124,404932000.0,65748192475.0,True,tron,1516910659,3634677724.0,4538768672.0,,TRON,-0.52,-2.41,-23.15,6.16e-06,0.0552817893,0.0690326,14,TRX,100000000000
2018-01-25 21:35:00,313309332.294,391242000.0,65748192475.0,True,tron,1516916059,3624352743.0,4525875451.0,,TRON,-0.86,-3.26,-21.03,6.13e-06,0.0551247511,0.0688365,14,TRX,100000000000
2018-01-25 22:06:00,307006180.397,383371000.0,65748192475.0,True,tron,1516917859,3640837963.0,4546461210.0,,TRON,-0.29,-2.64,-19.79,6.14e-06,0.0553754837,0.0691496,14,TRX,100000000000
2018-01-25 22:10:00,306214182.274,382382000.0,65748192475.0,True,tron,1516918159,3643538990.0,4549834093.0,,TRON,-0.15,-2.59,-19.6,6.14e-06,0.055416565099999995,0.0692009,14,TRX,100000000000
2018-01-25 22:13:00,306214182.274,382382000.0,65748192475.0,True,tron,1516918159,3643538990.0,4549834093.0,,TRON,-0.15,-2.59,-19.6,6.14e-06,0.0554165651,0.0692009,14,TRX,100000000000
2018-01-25 22:15:00,306214182.274,382382000.0,65748192475.0,True,tron,1516918159,3643538990.0,4549834093.0,,TRON,-0.15,-2.59,-19.6,6.14e-06,0.055416565099999995,0.0692009,14,TRX,100000000000
2018-01-25 22:20:00,305525488.254,381522000.0,65748192475.0,True,tron,1516918759,3651020784.0,4559176911.0,,TRON,0.29,-2.31,-19.27,6.14e-06,0.055530359800000005,0.069343,14,TRX,100000000000
2018-01-25 22:25:00,305506268.886,381498000.0,65748192475.0,True,tron,1516919060,3660455953.0,4570958987.0,,TRON,0.62,-2.07,-18.92,6.15e-06,0.0556738644,0.06952219999999999,14,TRX,100000000000
2018-01-25 22:50:00,300457981.558,375194000.0,65748192475.0,True,tron,1516920560,3638984626.0,4544146874.0,,TRON,0.26,-2.77,-18.96,6.15e-06,0.0553472953,0.06911439999999999,14,TRX,100000000000
2018-01-25 23:01:00,298752262.648,373064000.0,65748192475.0,True,tron,1516921158,3629923283.0,4532831610.0,,TRON,-0.09,-2.97,-19.06,6.17e-06,0.0552094764,0.0689423,14,TRX,100000000000
2018-01-25 23:10:00,297342041.521,371303000.0,65748192475.0,True,tron,1516921760,3615396703.0,4514691684.0,,TRON,-0.83,-3.17,-19.19,6.16e-06,0.0549885338,0.0686664,14,TRX,100000000000
2018-01-25 23:20:00,295762850.117,369331000.0,65748192475.0,True,tron,1516922360,3621030426.0,4521726740.0,,TRON,-0.85,-2.92,-18.97,6.16e-06,0.055074220099999995,0.0687734,14,TRX,100000000000
2018-01-25 23:30:00,293784856.827,366861000.0,65748192475.0,True,tron,1516922959,3629059797.0,4531753340.0,,TRON,-0.61,-2.69,-18.69,6.17e-06,0.055196343200000005,0.06892589999999997,14,TRX,100000000000
2018-01-25 23:40:00,291961419.288,364584000.0,65748192475.0,True,tron,1516923559,3615075528.0,4514290620.0,,TRON,-0.94,-3.0,-18.86,6.16e-06,0.054983648899999994,0.06866030000000001,14,TRX,100000000000
2018-01-25 23:50:00,290296541.535,362505000.0,65748192475.0,True,tron,1516924159,3608883699.0,4506558632.0,,TRON,-0.81,-3.11,-18.86,6.15e-06,0.054889474,0.0685427,14,TRX,100000000000
2018-01-26 00:10:00,290289994.136,359176000.0,65748192475.0,True,tron,1516925358,3639566769.0,4503238349.0,,TRON,-0.54,-3.16,-18.73,6.13e-06,0.0553561495,0.0684922,14,TRX,100000000000
2018-01-26 00:20:00,290437088.538,359358000.0,65748192475.0,True,tron,1516925959,3652346557.0,4519050789.0,,TRON,-0.07,-2.89,-18.33,6.13e-06,0.0555505242,0.0687327,14,TRX,100000000000
2018-01-26 00:30:00,289827697.444,358604000.0,65748192475.0,True,tron,1516926558,3652787606.0,4519596499.0,,TRON,-0.05,-2.93,-18.22,6.12e-06,0.0555572324,0.068741,14,TRX,100000000000
2018-01-26 00:40:00,288484450.762,356942000.0,65748192475.0,True,tron,1516927159,3653775980.0,4520819415.0,,TRON,0.1,-2.99,-18.05,6.12e-06,0.0555722651,0.0687596,14,TRX,100000000000
2018-01-26 00:50:00,289847094.508,358628000.0,65748192475.0,True,tron,1516927759,3682922400.0,4556882299.0,,TRON,0.98,-2.38,-17.3,6.13e-06,0.0560155688,0.0693081,14,TRX,100000000000
2018-01-26 01:01:00,289156882.314,357774000.0,65748192475.0,True,tron,1516928359,3696642738.0,4573858482.0,,TRON,1.47,-2.24,-16.88,6.13e-06,0.0562242489,0.0695663,14,TRX,100000000000
2018-01-26 01:20:00,285457700.56700003,353197000.0,65748192475.0,True,tron,1516929559,3696594913.0,4573799309.0,,TRON,1.36,-2.54,-16.63,6.14e-06,0.056223521500000005,0.0695654,14,TRX,100000000000
2018-01-26 01:30:00,284019893.198,351418000.0,65748192475.0,True,tron,1516930159,3698970200.0,4576738253.0,,TRON,1.31,-2.62,-16.45,6.15e-06,0.0562596485,0.06961010000000001,14,TRX,100000000000
2018-01-26 01:40:00,284001304.345,351395000.0,65748192475.0,True,tron,1516930760,3698390992.0,4576021598.0,,TRON,0.98,-2.76,-16.34,6.14e-06,0.056250839000000004,0.0695992,14,TRX,100000000000
2018-01-26 02:01:00,280119466.912,346592000.0,65748192475.0,True,tron,1516931959,3680966906.0,4554462765.0,,TRON,-0.5,-3.36,-16.5,6.13e-06,0.0559858266,0.06927130000000001,14,TRX,100000000000
2018-01-26 02:10:00,282424484.684,349444000.0,65748192475.0,True,tron,1516932560,3718222247.0,4600558823.0,,TRON,0.44,-2.49,-15.45,6.13e-06,0.056552463399999996,0.06997239999999999,14,TRX,100000000000
2018-01-26 02:20:00,282209500.558,349178000.0,65748192475.0,True,tron,1516933160,3749329474.0,4639047815.0,,TRON,1.29,-1.78,-14.61,6.12e-06,0.0570255901,0.0705578,14,TRX,100000000000
2018-01-26 02:30:00,281748820.288,348608000.0,65748192475.0,True,tron,1516933759,3758028232.0,4649810794.0,,TRON,1.72,-1.6,-14.26,6.12e-06,0.057157894199999996,0.0707215,14,TRX,100000000000
2018-01-26 02:40:00,279936003.015,346365000.0,65748192475.0,True,tron,1516934359,3750636679.0,4640665221.0,,TRON,1.59,-1.9,-14.29,6.12e-06,0.0570454721,0.07058239999999999,14,TRX,100000000000
2018-01-26 02:50:00,278918465.366,345106000.0,65748192475.0,True,tron,1516934959,3752671880.0,4643183376.0,,TRON,1.71,-1.95,-14.14,6.14e-06,0.0570764266,0.0706207,14,TRX,100000000000
2018-01-26 03:01:00,279727484.577,346107000.0,65748192475.0,True,tron,1516935560,3775749892.0,4671737816.0,,TRON,2.31,-1.4,-13.5,6.12e-06,0.0574274326,0.071055,14,TRX,100000000000
2018-01-26 03:10:00,277786161.755,343705000.0,65748192475.0,True,tron,1516936159,3768958803.0,4663335197.0,,TRON,1.67,-1.59,-13.56,6.13e-06,0.057324143200000004,0.0709272,14,TRX,100000000000
2018-01-26 03:30:00,276122055.306,341646000.0,65748192475.0,True,tron,1516937361,3748378296.0,4637870922.0,,TRON,-0.08,-2.11,-13.89,6.12e-06,0.0570111231,0.07053989999999999,14,TRX,100000000000
