,ADA,ADST,BIS,BTC,EMC2,ETH,FUN,IOTA,LTC,TRX,UBQ,XLM,XRP
2018-01-13 20:44:45.994817,926,136.71,36.6,0.007,45,2.14081,633.366,47.553,1.0,2760,18.222,929.07,922.5
2018-01-13 20:46:16.971291,926,136.71,36.6,0.007,45,2.14081,633.366,47.553,1.0,2760,18.222,929.07,922.5
2018-01-13 20:46:20.955884,926,136.71,36.6,0.007,45,2.14081,633.366,47.553,1.0,2760,18.222,929.07,922.5
2018-01-13 20:46:43.508841,926,136.71,36.6,0.007,45,2.14081,633.366,47.553,1.0,2760,18.222,929.07,922.5
2018-01-13 20:49:35.284533,926,136.71,36.6,0.007,45,2.14081,633.366,47.553,1.0,2760,18.222,929.07,922.5
2018-01-14 02:15:02.265838,926,136.71,36.6,0.007,45,2.14081,633.366,47.553,1.0,2760,18.222,929.07,922.5
2018-01-14 02:15:31.013179,926,136.71,36.6,0.007,45,2.14081,633.366,47.553,1.0,2760,18.222,929.07,922.5
2018-01-14 02:15:38.886113,926,136.71,36.6,0.007,45,2.14081,633.366,47.553,1.0,2760,18.222,929.07,922.5
2018-01-14 09:53:33.422763,926,136.71,36.6,0.007,45,2.14081,633.366,47.553,1.0,2760,18.222,929.07,922.5
2018-01-14 10:03:22.722662,926,136.71,36.6,0.007,45,2.14081,633.366,47.553,1.0,2760,18.222,929.07,922.5
2018-01-14 10:31:27.554583,926,136.71,36.6,0.007,45,2.14081,633.366,47.553,1.0,2760,18.222,929.07,922.5
2018-01-14 10:33:16.670797,926,136.71,36.6,0.007,45,2.14081,633.366,47.553,1.0,2760,18.222,929.07,922.5
2018-01-14 17:36:00.000000,926,136.71,36.6,0.007,45,2.14081,633.366,47.553,1.0,2760,18.222,929.07,922.5
2018-01-14 17:37:00.000000,926,136.71,36.6,0.007,45,2.14081,633.366,47.553,1.0,2760,18.222,929.07,922.5
2018-01-14 17:41:00.000000,926,136.71,36.6,0.007,45,2.14081,633.366,47.553,1.0,2760,18.222,929.07,922.5
2018-01-14 18:00:00.000000,926,136.71,36.6,0.007,45,2.14081,633.366,47.553,1.0,2760,18.222,929.07,922.5
2018-01-14 18:16:00.000000,926,136.71,36.6,0.007,45,2.14081,633.366,47.553,1.0,2760,18.222,929.07,922.5
