,BTC,ETH,XRP,ADA,XLM,LTC,TRX,UBQ,BIS,IOTA,EMC2,FUN,ADST
2018-01-13 20:44:45.994817,11737.4235464,1147.44625032,1.6283583901,0.7088873965,0.5330854797,206.690003008,0.0832556959,4.5815551731,6.2303323898,3.2585939023,0.7408025718,0.1122256746,1.6499821816
2018-01-13 20:46:16.971291,11697.0121392,1146.04455648,1.6298338573,0.7040978661,0.5325952967,206.485896712,0.0835245588,4.5819978133,6.3643048116,3.2356913726,0.7371737422,0.1121928865,1.6499821816
2018-01-13 20:46:20.955884,11697.0121392,1146.04455648,1.6298338573,0.7040978661,0.5325952967,206.485896712,0.0835245588,4.5819978133,6.3643048116,3.2356913726,0.7371737422,0.1121928865,1.6499821816
2018-01-13 20:46:43.508841,11697.0121392,1146.04455648,1.6298338573,0.7040978661,0.5325952967,206.485896712,0.0835245588,4.5819978133,6.3643048116,3.2356913726,0.7371737422,0.1121928865,1.6499821816
2018-01-13 20:49:35.284533,11697.0121392,1146.04455648,1.6298338573,0.7040978661,0.5330354777,206.485896712,0.0835245588,4.5819978133,6.3633949402,3.2356913726,0.7331539138,0.1121928865,1.6411047873
2018-01-14 02:15:02.265838,11819.0660648,1129.68326464,1.6244729931,0.7042831192,0.5345757015,217.153524568,0.0841754038,4.5782763571,6.0632603206,3.2171004858,0.7434485763,0.1125469986,1.6385063256
2018-01-14 02:15:31.013179,11819.0660648,1129.68326464,1.6244729931,0.7042831192,0.5345757015,217.153524568,0.0841754038,4.5782763571,6.0632603206,3.2171004858,0.7434485763,0.1125469986,1.6385063256
2018-01-14 02:15:38.886113,11819.0660648,1129.68326464,1.6244729931,0.7042831192,0.5345757015,217.153524568,0.0841754038,4.5782763571,6.0632603206,3.2171004858,0.7434485763,0.1125469986,1.6385063256
2018-01-14 09:53:33.422763,11412.901227,1124.0884109,1.5869030086,0.6642746838,0.5181462241,202.92116572,0.0800083756,4.5721215267,5.5842594262,3.0928972984,0.7088802475,0.1111535589,1.4746573296
2018-01-14 10:03:22.722662,11350.588067,1118.6442085,1.5776134283,0.6584975979,0.5175845857,201.89955786,0.0809534039,4.4994856998,5.5493722557,3.0642004484,0.7038361612,0.1094965208,1.4833893711
2018-01-14 10:31:27.554583,11201.856393,1101.5162886,1.558238955,0.6469663837,0.5094937138,198.72732607,0.0796633575,4.497698296,5.223236655,3.0426614127,0.6854480396,0.1081059534,1.6162721848
2018-01-14 10:33:16.670797,11201.856393,1101.5162886,1.558238955,0.6469663837,0.5094937138,198.72732607,0.0796633575,4.497698296,5.223236655,3.0426614127,0.6854480396,0.1081059534,1.6162721848
2018-01-14 16:56:58.899654,10919.971335,1057.273945,1.4953026634,0.6189754762,0.4857483003,193.3265789,0.0728268659,4.1157350234,5.1715741259,2.9527664803,0.6490809316,0.0981137102,1.1634276927
