,strategy,min_gain,pct_gap,period
2018-04-02 08:00:00,7.2727238826969085,0.005,0.01,4H
2018-03-04 12:00:00,5.9298722792200635,0.005,0.01,4H
2018-02-04 20:00:00,13.175312715638952,0.005,0.01,4H
2018-01-26 12:00:00,20.182441566608432,0.005,0.01,4H
2018-02-02 16:00:00,10.290198960795564,0.005,0.01,4H
2018-03-16 16:00:00,-22.22113125877614,0.005,0.01,4H
2018-01-28 20:00:00,25.14617915394841,0.005,0.01,4H
2018-03-24 04:00:00,5.687187837825618,0.005,0.01,4H
2018-03-26 00:00:00,,0.005,0.01,4H
2018-02-02 00:00:00,0.41950534166639386,0.005,0.01,4H
2018-02-03 08:00:00,12.584265351745245,0.005,0.01,4H
2018-02-25 04:00:00,-38.543078764433744,0.005,0.01,4H
2018-02-15 04:00:00,-27.59690452330814,0.005,0.01,4H
2018-01-27 08:00:00,22.830074997373217,0.005,0.01,4H
2018-01-28 12:00:00,13.579899992113525,0.005,0.01,4H
2018-03-31 12:00:00,5.753081259803068,0.005,0.01,4H
2018-02-24 12:00:00,-39.8579052096486,0.005,0.01,4H
2018-03-22 04:00:00,-11.66075692445682,0.005,0.01,4H
2018-03-20 04:00:00,-15.483468124332717,0.005,0.01,4H
2018-03-08 04:00:00,-34.073503209515295,0.005,0.01,4H
2018-03-19 12:00:00,-20.265846147170876,0.005,0.01,4H
2018-03-06 12:00:00,-47.49796246684793,0.005,0.01,4H
2018-02-07 16:00:00,-11.032269519793331,0.005,0.01,4H
2018-04-02 00:00:00,4.812621134748852,0.005,0.01,4H
2018-02-10 12:00:00,-20.462820681283816,0.005,0.01,4H
2018-03-27 20:00:00,5.820236323375198,0.005,0.01,4H
2018-02-04 16:00:00,11.71136512989851,0.005,0.01,4H
2018-01-27 04:00:00,15.122777323952619,0.005,0.01,4H
2018-03-09 20:00:00,-33.883240199382314,0.005,0.01,4H
2018-03-08 12:00:00,-37.53469693542279,0.005,0.01,4H
2018-02-16 04:00:00,-36.26781057211516,0.005,0.01,4H
2018-01-31 12:00:00,2.9547177092153305,0.005,0.01,4H
2018-03-23 20:00:00,-11.232814004963885,0.005,0.01,4H
2018-03-13 04:00:00,-25.321102891650042,0.005,0.01,4H
2018-03-06 16:00:00,-45.69739549326612,0.005,0.01,4H
2018-01-31 20:00:00,2.695567567531512,0.005,0.01,4H
2018-03-18 04:00:00,-15.37523184343543,0.005,0.01,4H
2018-03-24 12:00:00,,0.005,0.01,4H
2018-02-02 12:00:00,3.8089551505792087,0.005,0.01,4H
2018-03-10 20:00:00,-25.21948253188252,0.005,0.01,4H
2018-03-16 08:00:00,-19.399166472334457,0.005,0.01,4H
2018-01-29 20:00:00,25.304161982880288,0.005,0.01,4H
2018-02-18 00:00:00,-36.6578471905458,0.005,0.01,4H
2018-03-14 08:00:00,-22.66208058598241,0.005,0.01,4H
2018-01-31 08:00:00,-1.9380066833754057,0.005,0.01,4H
2018-03-22 00:00:00,-12.190418230104271,0.005,0.01,4H
2018-02-20 16:00:00,,0.005,0.01,4H
2018-03-08 00:00:00,-36.626133782291056,0.005,0.01,4H
2018-03-31 20:00:00,13.5907501182499,0.005,0.01,4H
2018-02-17 16:00:00,-38.135441247239186,0.005,0.01,4H
2018-03-28 16:00:00,4.439938983396772,0.005,0.01,4H
2018-03-22 20:00:00,-13.221977738412946,0.005,0.01,4H
2018-02-12 00:00:00,-21.116366927582774,0.005,0.01,4H
2018-03-05 16:00:00,-1.4845570958952976,0.005,0.01,4H
