,strategy,min_gain,pct_gap,period
2018-01-26 00:00:00,-18.897484887649,0.0025,0.01,H
2018-01-26 01:00:00,-17.76469073572025,0.0025,0.01,H
2018-01-26 02:00:00,-18.74151724055875,0.0025,0.01,H
2018-01-26 03:00:00,-20.0449182777851,0.0025,0.01,H
2018-01-26 04:00:00,-19.01441068646156,0.0025,0.01,H
2018-01-26 05:00:00,-19.367058420972953,0.0025,0.01,H
2018-01-26 06:00:00,-18.421152289063542,0.0025,0.01,H
2018-01-26 07:00:00,-20.324685514137855,0.0025,0.01,H
2018-01-26 08:00:00,-18.466986068712686,0.0025,0.01,H
2018-01-26 09:00:00,-18.046259570377075,0.0025,0.01,H
2018-01-26 10:00:00,-17.37697395958321,0.0025,0.01,H
2018-01-26 11:00:00,-16.85335056385526,0.0025,0.01,H
2018-01-26 12:00:00,-18.619971069343535,0.0025,0.01,H
2018-01-26 13:00:00,-18.662317339710057,0.0025,0.01,H
2018-01-26 14:00:00,-18.86110802470685,0.0025,0.01,H
2018-01-26 15:00:00,-19.8607266946195,0.0025,0.01,H
2018-01-26 16:00:00,-20.350867261708387,0.0025,0.01,H
2018-01-26 17:00:00,-21.182007455880978,0.0025,0.01,H
2018-01-26 18:00:00,-19.10844527181851,0.0025,0.01,H
2018-01-26 19:00:00,-17.57831121136168,0.0025,0.01,H
2018-01-26 20:00:00,-18.197416551793523,0.0025,0.01,H
2018-01-26 21:00:00,-17.39868355833967,0.0025,0.01,H
2018-01-26 22:00:00,-16.709535314645436,0.0025,0.01,H
2018-01-26 23:00:00,-17.799657054074274,0.0025,0.01,H
2018-01-27 00:00:00,-17.96575323503552,0.0025,0.01,H
2018-01-27 01:00:00,-15.273200389055802,0.0025,0.01,H
2018-01-27 02:00:00,-15.501586014549574,0.0025,0.01,H
2018-01-27 03:00:00,-15.803492660186265,0.0025,0.01,H
2018-01-27 04:00:00,-15.969965629402509,0.0025,0.01,H
2018-01-27 05:00:00,-17.267655793311746,0.0025,0.01,H
2018-01-27 06:00:00,-18.71672385857879,0.0025,0.01,H
2018-01-27 07:00:00,-17.777642198494675,0.0025,0.01,H
2018-01-27 08:00:00,-17.783032616617078,0.0025,0.01,H
2018-01-27 09:00:00,-18.171865696922083,0.0025,0.01,H
2018-01-27 10:00:00,-18.70809105317001,0.0025,0.01,H
2018-01-27 11:00:00,-15.11205208388175,0.0025,0.01,H
2018-01-27 12:00:00,-16.545328371892552,0.0025,0.01,H
2018-01-27 13:00:00,-17.041623542031203,0.0025,0.01,H
2018-01-27 14:00:00,-16.523754822744664,0.0025,0.01,H
2018-01-27 15:00:00,-17.736200030626478,0.0025,0.01,H
2018-01-27 16:00:00,-21.39072914573073,0.0025,0.01,H
2018-01-27 17:00:00,-19.96250955735576,0.0025,0.01,H
2018-01-27 18:00:00,-20.02335156886639,0.0025,0.01,H
2018-01-27 19:00:00,-19.817729932608003,0.0025,0.01,H
2018-01-27 20:00:00,-22.786444003217184,0.0025,0.01,H
2018-01-27 21:00:00,-21.75561622111202,0.0025,0.01,H
2018-01-27 22:00:00,-22.056059920153714,0.0025,0.01,H
2018-01-27 23:00:00,-19.598010879656215,0.0025,0.01,H
2018-01-28 00:00:00,-20.491706433123227,0.0025,0.01,H
2018-01-28 01:00:00,-20.68830476615969,0.0025,0.01,H
2018-01-28 02:00:00,-20.855974820111186,0.0025,0.01,H
2018-01-28 03:00:00,-21.372230929732083,0.0025,0.01,H
2018-01-28 04:00:00,-20.39408379083116,0.0025,0.01,H
2018-01-28 05:00:00,-23.267645759310668,0.0025,0.01,H
2018-01-28 06:00:00,-24.00604244828247,0.0025,0.01,H
2018-01-28 07:00:00,-23.724752777270282,0.0025,0.01,H
2018-01-28 08:00:00,-22.50336116802923,0.0025,0.01,H
2018-01-28 09:00:00,-22.76104129487547,0.0025,0.01,H
2018-01-28 10:00:00,-27.726047271554236,0.0025,0.01,H
2018-01-28 11:00:00,-28.83492000532162,0.0025,0.01,H
2018-01-28 12:00:00,-28.802254231047286,0.0025,0.01,H
2018-01-28 13:00:00,-28.494677204588058,0.0025,0.01,H
2018-01-28 14:00:00,-27.10894043408571,0.0025,0.01,H
2018-01-28 15:00:00,-27.982817624196556,0.0025,0.01,H
2018-01-28 16:00:00,-27.776066152236154,0.0025,0.01,H
2018-01-28 17:00:00,-27.863360086163993,0.0025,0.01,H
2018-01-28 18:00:00,-27.367229508575278,0.0025,0.01,H
2018-01-28 19:00:00,-26.858321316360474,0.0025,0.01,H
2018-01-28 20:00:00,-27.075269233975092,0.0025,0.01,H
2018-01-28 21:00:00,-27.293283910279214,0.0025,0.01,H
2018-01-28 22:00:00,-27.841340597963892,0.0025,0.01,H
2018-01-28 23:00:00,-27.743417031396163,0.0025,0.01,H
2018-01-29 00:00:00,-28.274374855382064,0.0025,0.01,H
2018-01-29 01:00:00,-24.21241408937938,0.0025,0.01,H
2018-01-29 02:00:00,-24.17357853421113,0.0025,0.01,H
2018-01-29 03:00:00,-24.355016970745865,0.0025,0.01,H
2018-01-29 04:00:00,-27.004174895837266,0.0025,0.01,H
2018-01-29 05:00:00,-27.054952302588674,0.0025,0.01,H
2018-01-29 06:00:00,-25.977223828587924,0.0025,0.01,H
2018-01-29 07:00:00,-23.457996199436707,0.0025,0.01,H
2018-01-29 08:00:00,-26.62245396900859,0.0025,0.01,H
2018-01-29 09:00:00,-26.344701912615022,0.0025,0.01,H
2018-01-29 10:00:00,-26.737973545524213,0.0025,0.01,H
2018-01-29 11:00:00,-24.020893574216146,0.0025,0.01,H
2018-01-29 12:00:00,-26.909599550870283,0.0025,0.01,H
2018-01-29 13:00:00,-24.44402430639785,0.0025,0.01,H
2018-01-29 14:00:00,-25.13411906438246,0.0025,0.01,H
2018-01-29 15:00:00,-26.61169813817928,0.0025,0.01,H
2018-01-29 16:00:00,-26.75176960896134,0.0025,0.01,H
2018-01-29 17:00:00,-26.787713424877197,0.0025,0.01,H
2018-01-29 18:00:00,-26.804630619801728,0.0025,0.01,H
